Business	Category	SubCategory	AKA	Contact	Address	City	ST	ZIP	Phone	FAX	License	Ethnicity	Email
THREE BROTHERS ELECTRICAL CONTRACTORS	LOW VOLTAGE SYSTEMS (C-7)          			Alex B. Jones	"895 'B"" Street #219"	Hayward	CA	94541	(510) 402-4177	(510) 474-3943	885548	BLK	tbecontractors@mac.com
"DLD LUMBER, INC."	"LUMBER, PLYWOOD, MILLWORK, WINDOWS/"	"DOORS, STRUCTURAL ASSEMBLIES  "		Dana L. Dominguez	1755 Egbert Avenue            	San Francisco                 	CA	94124	(415) 467-6832	(415) 467-6937	B 783763	LAT	dana@dldlumber.com
NOR-CAL DOORS & CABINETS	"LUMBER, PLYWOOD, MILLWORK, WINDOWS/"	"DOORS, STRUCTURAL ASSEMBLIES  "		Jayson A. Valdez	6431 Pegasus Court	Rocklin	CA	95677	(916) 781-3027	(916) 781-3028	0	FIL	jaysonavaldez@aol.com
B.U.I.L.D. BAY AREA	MANAGEMENT CONSULT: HUMAN RESOURCES			Alex  Francois	"582 Market Street, Suite 1204"	San Francisco	CA	94104	(415) 596-8273		0	BLK	alex@buildbayarea.com
BUTLER ENTERPRISES GROUP LLC	MANAGEMENT CONSULT: HUMAN RESOURCES		                                   	Derf  Butler	"101 Townsend Street, Suite 270"	San Francisco                 	CA	94107	(415) 977-0632	(415) 977-0638	FEIN 94-3335293	BLK	"derf@butlereg.com, anita.butlereg2@yahoo.com"
"CHIANG, PEGGY ALLERGRA             "	MANAGEMENT CONSULT: HUMAN RESOURCES		                                   	Peggy  Chiang	381 TEHAMA STREET             	SAN FRANCISCO                 	CA	94103	(415) 652-0696	(415) 384-0702	0	A/P	chiang@speakeasy.net
GABRIEL-ROCHE INC                  	MANAGEMENT CONSULT: HUMAN RESOURCES		                                   	Roderick J. Roche	10933 Cotter Street           	Oakland                       	CA	94605	(510) 632-9175	(510) 632-2755	0	BLK	rodroche@pacbell.net
JOHN SCOTT CONSULTING INC	MANAGEMENT CONSULT: HUMAN RESOURCES			John  Scott	1562 Van Dyke Avenue	San Francisco	CA	94124	(415) 875-0554		0	BLK	johnscottconsulting@comcast.net
L. LUSTER & ASSOCIATES	MANAGEMENT CONSULT: HUMAN RESOURCES			Laura  Luster	3390 Victor Avenue	Oakland	CA	94602	(510) 282-7769	(510) 336-4101	0	BLK	laura@llusterassociates.com
THE JWO GROUP	MANAGEMENT CONSULT: HUMAN RESOURCES			Janice  Williams Oliver	"144  So. Third Street, #402"	San Jose	CA	95112			0	BLK	jwilliamsoliver@gmail.com
"CLEAR FOCUS COACHING, INC."	MARKETING CONSULTANTS              			Alton  Byrd	2904 1/2 Franklin Blvd.	Sacramento	CA	95818	(916) 452-5712	(916) 600-9968	0	BLK	alton@clear-focus.com
GREENFUELS INCORPORATED	MARKETING CONSULTANTS              			Phil C. Chin	"601 Van Ness Avenue, Suite 601"	San Francisco	CA	94102	(415) 730-4001	(415) 358-5838	0	A/P	pcc@greenfuelsinc.com
ORI-line GLOBAL STRATEGY	MARKETING CONSULTANTS              			Diori Y. Johnson	4844 Daisy Street #D	Oakland	CA	94619-2837	(510) 524-2049	(510) 663-0549	0	BLK	diori9745@comcast.net
THE JWO GROUP	MARKETING CONSULTANTS              			Janice  Williams Oliver	"144  So. Third Street, #402"	San Jose	CA	95112			0	BLK	jwilliamsoliver@gmail.com
SPENCER MASONRY	MASONRY (C-29)                     			Michael D. Spencer	"1485 Bayshore Blvd., Suite 85"	San Francisco                 	CA	94124	(415) 467-1341	(415) 467-1332	325561	BLK	spencermasonrysf@aol.com
"AJMANI & PAMIDI, INC."	MECHANICAL ENGINEER                			Harjinder S. Ajmani	"101 California Street, Suite 2025"	San Francisco                 	CA	94111	(415) 543-9344	(415) 543-0670	E 10472	EIN	satishpamidi@apincsf.com
C & N ENGINEERS INC                	MECHANICAL ENGINEER                		                                   	Dennis Pak-Shing  Cheung	"22 Battery Street, Suite 508  "	San Francisco                 	CA	94111	(415) 982-1828	(415) 982-8005	E 9279         	A/P	dcheung@cnengr.com
"HIGASH ASSOCIATES, INC."	MECHANICAL ENGINEER                			Glenn T. Higashioka	35 Dorman Avenue              	San Francisco                 	CA	94124	(415) 826-2808	(415) 826-6293	M 26711	A/P	glennhigas@aol.com
M H C ENGINEERS INC.	MECHANICAL ENGINEER                		                                   	Meng-Hsiu  Chen	150 8th Street                	San Francisco                 	CA	94103	(415) 512-7141	(415) 512-7120	M 19582        	A/P	general@mhcengr.com
TOMMY SIU & ASSOCIATES	MECHANICAL ENGINEER                			Tommy  Siu	"657 Mission Street, Suite 448 "	San Francisco                 	CA	94105	(415) 541-9910	(415) 541-0459	ME 19493	A/P	tsiu_eng@sbcglobal.net
PACIFIC DOOR PRODUCTS INC	METAL CABINETS/PARTITIONS (D-24)   			James M. Granados	470 Aaron Street	Cotati	CA	94931	(707) 795-7777	(707) 795-7888	443074	LAT	jim@pacificdoorproducts.com
NOR-CAL DOORS & CABINETS	METAL DOORS SASH FRAMES MOLDING &  	TRIM                          		Jayson A. Valdez	6431 Pegasus Court	Rocklin	CA	95677	(916) 781-3027	(916) 781-3028	0	FIL	jaysonavaldez@aol.com
OVERAA/MILLER CONSTRUCTION         	MULTI-FAMILY HOME BUILDER          		                                   	Gerald  Overaa	200 Parr Blvd.                	Richmond                      	CA	94801	(510) 234-0926	(0  )    -    	A 489980       	BLK	
AGS INC	NUCLEAR ENGINEERING                		                                   	Dennis C. Wong	"111 New Montgomery St, Ste 500"	San Francisco                 	CA	94105	(415) 777-2166	(415) 777-4874	C 70513	A/P	twong@agsinc.com
ANCO IRON & CONSTRUCTION	ORNAMENTAL METALS (C-23)           			Hector  Colina	1320 Egbert St.	San Francisco	CA	94124	(415) 822-3931	(415) 822-3937	749293	LAT	anco6737@sbcglobal.net
J C METAL SPECIALISTS INC          	ORNAMENTAL METALS (C-23)           		                                   	Jeffrey  Chan	2708 Ingalls Street           	San Francisco                 	CA	94124	(415) 822-3878	(415) 822-6132	546302	A/P	ivy@jcmetals.com
J E M UNLIMITED IRON INC	ORNAMENTAL METALS (C-23)           			Martha  Ulloa	"3162 E. La Palma Avenue, Suite F"	Anaheim	CA	92806	(714) 630-0499	(714) 630-0303	831720	LAT	jemunlimitiron@aol.com
"KWAN WO IRONWORKS, INC."	ORNAMENTAL METALS (C-23)           		" KIN WO CONSTRUCTION, INC."	Florence Yuen  Kong	1383 Armstrong Avenue         	San Francisco                 	CA	94124	(415) 822-9628	(415) 822-9068	643621	A/P	florkong@yahoo.com
NUEVA CASTILLA IRON WORKS CO.	ORNAMENTAL METALS (C-23)           		                                   	Francisco Javier  Alvarez	"1555 Galvez Avenue, Suite 200"	San Francisco                 	CA	94124	(415) 282-6767	(415) 282-3442	758945	LAT	info@nuevacastilla.com
OKEEFFE MECHANICAL CO INC	ORNAMENTAL METALS (C-23)           		                                   	Moon  Jee	"2715 Ingalls Street, Suite A  "	San Francisco                 	CA	94124	(415) 822-2000	(415) 822-4770	687041	A/P	okeeffemech@sbcglobal.net
A J S PAINTING DECORATING	PAINTING & DECORATING (C-33)       			Alphonso L. Rhodes	127 Dakota Street	San Francisco	CA	94107	(415) 505-6978	(925) 779-3467	789342	BLK	paintingAJS@aol.com
ASHLEY H RHODES COMPANY	PAINTING & DECORATING (C-33)       			Ashley H. Rhodes	376 Bradford Street	San Francisco	CA	94110	(415) 643-3038	(415) 643-3380	911903	BLK	AshleyH_Rhodes@comcast.net
B & C PAINTING	PAINTING & DECORATING (C-33)       			Barbara J. Banks	"4026 Third Street, Suite 301"	San Francisco	CA	94124	(415) 641-9100	(415) 641-9109	493881	BLK	bbcpainting@aol.com
BACA & SONS PAINTING & WALLCOVERING	PAINTING & DECORATING (C-33)       		                                   	Robert D Baca	1555 Yosemite Ave.  Unit 5	San Francisco                 	CA	94124	(415) 822-2362	(650) 347-1142	353621	LAT	bacasonspainting@ymail.com
D AND B PAINTING COMPANY	PAINTING & DECORATING (C-33)       			Derek  Barrett	"4408 Market Street, Office G"	Oakland	CA	94608	(510) 597-9830	(916) 372-4320	683394	BLK	dbpaint@sbcglobal.net
"EVANS PAINTING AND DECORATING, INC."	PAINTING & DECORATING (C-33)       			Curtis  Evans	4936 Green Hills Circle	Antioch	CA	94531	(415) 637-1850	(925) 778-0781	0		evanspainting@sbcglobal.net
"HUEY CONSTRUCTION MANAGEMENT CO., INC."	PAINTING & DECORATING (C-33)       		dba M H CONSTRUCTION MANAGEMENT CO.	Matthew  Huey	1630 17th Street	San Francisco                 	CA	94107	(415) 588-9778	(415) 558-9612	B 575228       	A/P	hueymhc@yahoo.com
L.C.S.                             	PAINTING & DECORATING (C-33)       		                                   	Larry  White	"2342 Shattuck Ave., #131      "	Berkeley                      	CA	94704	(510) 528-8425	(510) 528-8425	735598	BLK	
LINSY PAINTING AND DECORATING	PAINTING & DECORATING (C-33)       			Norman  Linsy	"322 Harbour Way, Suite 14"	Richmond	CA	94801	(510) 237-6872	(510) 237-5501	502995	BLK	linsypainting@yahoo.com
M P BOWE PAINTING & DECORATING	PAINTING & DECORATING (C-33)       			Marquita P. Bowe	550 Circular Avenue	San Francisco	CA	94112-0801	(415) 812-3055	(415) 333-2216	881774	IND	mbowe747@yahoo.com
RHAPSODY PAINTING & ENVIRONMENTAL  	PAINTING & DECORATING (C-33)       		                                   	Joseph  Ruiz	850 South Van Ness Ave. #15	San Francisco                 	CA	94110	(415) 824-5010	(415) 824-5040	710830	LAT	rhapsody77@mac.com
ROYALTY PRO PAINTING & DECORATING	PAINTING & DECORATING (C-33)       			"Royal  Scott, Jr."	"1633 Newcomb Avenue, #5"	San Francisco	CA	94124	(415) 724-0676	(415) 401-0175	734668	BLK	royaltypropainting@gmail.com
SOUTHSIDE PAINTING                 	PAINTING & DECORATING (C-33)       			Leonard D. Mejia	32 Sheridan Street            	San Francisco                 	CA	94103	(415) 552-6333	(415) 552-3721	339784	LAT	lenny32@pacbell.net
UNITED PAINTING AND CONSTRUCTION   	PAINTING & DECORATING (C-33)       		                                   	Albert  Ching	1807 San Jose Avenue	San Francisco                 	CA	94112	(415) 586-0278	(415) 586-0279	622297	A/P	unitedpainting1987@yahoo.com
VALDEZ PAINTING	PAINTING & DECORATING (C-33)       			Vaughn Gino Valdez	"8240 Belvedere Avenue, Suite H"	Sacramento	CA	95826	(916) 454-2243	(916) 454-5662	897696	LAT	valdezpainting@att.net
ARCUS                              	"PLANNERS, CITY                     "		                                   	Samuel  Kwong	61 Walter U. Lum Place	San Francisco                 	CA	94108	(415) 391-3313	(415) 391-3649	C 14679        	A/P	
"FINGER, MOY & GUADAGNE"	"PLANNERS, CITY                     "		F M G ARCHITECTS	Stanley Yip  Moy	330 15th Street	Oakland	CA	94612	(415) 956-5211	(415) 956-5060	C27982	A/P	rfinger@fmgarchitects.com
PITTMAN &  ASSOCIATES	"PLANNERS, CITY                     "			Donna R. Pittman	"22 Battery Street, Suite 413"	San Francisco                 	CA	94111	(415) 394-7900	(415) 394-7747	0	BLK	donnarp@pacbell.net
STEVENS +  ASSOCIATES	"PLANNERS, CITY                     "		STEVENS & ASSOCIATES	Myles  Stevens	"855 Sansome Street, Suite 200"	San Francisco                 	CA	94111	(415) 397-6500	(415) 397-6525	C 9455         	BLK	mstevens@stevens-arch.com
WARD & ASSOCIATES                  	"PLANNERS, CITY                     "		                                   	"William ""Bill""  Ward"	"944 Market Street, Suite 610"	San Francisco                 	CA	94102	(415) 616-0800	(415) 616-0808	0	BLK	bward@wardllc.com
BOYETT CONSTRUCTION INC            	PLASTERING (C-35)                  		                                   	Vernon Hugo  Boyett	2404 Tripaldi Way	Hayward	CA	94545	(510) 264-9100	(510) 264-9105	557242	LAT	
D & M PLASTERING CO INC            	PLASTERING (C-35)                  		                                   	Donald Ray  Minor	"850 South Van Ness Avenue, Ste 38"	San Francisco	CA	94110	(415) 824-8850	(415) 282-0860	607291	BLK	dmplaster@sbcglobal.net
OCEAN SPRAY PLASTERING CO          	PLASTERING (C-35)                  		                                   	Walter Leon Rainwater	986 Hagmann Court             	San Diego                     	CA	92114	(619) 697-9655		183148	BLK	
"AL NORMAN MECHANICAL, INC."	PLUMBING (C-36)                    		AL NORMAN PLUMBING	Jackie  Norman	5146 Third Street             	San Francisco                 	CA	94124	(415) 828-6990	(415) 550-1136	489216	BLK	alnormanmech@yahoo.com
L.C.S.                             	PLUMBING (C-36)                    		                                   	Larry  White	"2342 Shattuck Ave., #131      "	Berkeley                      	CA	94704	(510) 528-8425	(510) 528-8425	735598	BLK	
"MAP PLUMBING, INC."	PLUMBING (C-36)                    			Phillip  Xu	2378-27th Avenue	San Franicsco	CA	94108	(415) 661-7766	(415) 731-1128	770531	A/P	mapplumbing@sbcglobal.net
MARK A BIGGINS & FAMILY PLUMBING	PLUMBING (C-36)                    			Mark A. Biggins	1658 Yosemite Avenue	San Francisco	CA	94124	(415) 261-1823		847109	BLK	mbigginsplumbing@yahoo.com
"N T K CONSTRUCTION, INC."	PLUMBING (C-36)                    			Sammy  Kwok	"501 Cesar Chavez St., Ste. 123"	San Francisco	CA	94124	(415) 643-1900	(415) 643-1300	851273	A/P	tqt64@aol.com
NATIONAL PLUMBING	PLUMBING (C-36)                    		                                   	Yong Jian  Chen	1472 Twenty Fourth Avenue     	San Francisco                 	CA	94122	(415) 753-1618	(0  )    -    	619642	A/P	
OKEEFFE MECHANICAL CO INC	PLUMBING (C-36)                    		                                   	Moon  Jee	"2715 Ingalls Street, Suite A  "	San Francisco                 	CA	94124	(415) 822-2000	(415) 822-4770	687041	A/P	okeeffemech@sbcglobal.net
P & A CONSTRUCTION COMPANY	PLUMBING (C-36)                    			Charlie Yu-Hwa  Pa	493 Vienna Street	San Francisco	CA	94112	(415) 334-7511	(415) 334-5701	B 674253	A/P	pa_construction@hotmail.com
P AND E COMPANY	PLUMBING (C-36)                    			Tony  Lei	46 Exeter Street	San Francisco	CA	94124	(415) 335-8812	(415) 467-7288	743178	A/P	tonypande@hotmail.com
"PARS POWER, INC."	PLUMBING (C-36)                    		CALWEST CONSTRUCTION & CALWEST CONCRETE	Rajen J. Patel	"1255 Post Street, Suite 532"	San Francisco	CA	94109	(415) 420-8537	(415) 236-6180	885711	EIN	Calwestcon@gmail.com
SPEEDY PLUMBING COMPANY            	PLUMBING (C-36)                    		                                   	Clayton  Wong	3233 Kansas Street            	Oakland                       	CA	94622	(510) 530-2633	(510) 482-1087	521776	A/P	
T HUNT PLUMBING	PLUMBING (C-36)                    			Ted  Hunt	1704 La Salle Avenue	San Francisco	CA	94124	(415) 336-9958	(415) 643-4925	840702	BLK	th2dire@sbcglobal.net
TONY NG PLUMBING COMPANY	PLUMBING (C-36)                    			Tony  Ng	1332 Hyde Street	San Francisco	CA	94109	(415) 474-9540	(415) 929-5290	329705	A/P	tonyngplumbing@yahoo.com
"KH PLUMBING SUPPLY, INC."	"PLUMBING EQP, BOILERS, FIREPLACES, "	"GAS STOVES, HOT WATER HEATERS "		Timothy y Hon	2272 Shafter Avenue	San Francisco	CA	94124	(415) 970-9718	(415) 970-9715		A/P	khplumbing8@sbcglobal.net
G & C EQUIPMENT CORPORATION	"PREFABRICATED EQUIPMENT, LABORATORY"	"EQUIPMENT, ETC. (D-34)        "	GENCE CORPORATION                  	Eugene  Hale	P.O. Box 5419	Gardena	CA	90249	(310) 515-6715	(310) 515-5046	469940	BLK	eddie@gandccorp.com
FINEST PRINTING COMPANY  INC.	"PRINTING, COMMERCIAL LITHOGRAPHIC  "		                                   	Kim  Mai	"1555 Yosemite Avenue, Suite 28"	San Francisco                 	CA	94124	(415) 822-4185	(415) 822-4187	0	A/P	fprint1@sbcglobal.net
GEARY PRINT SHOP INC               	"PRINTING, COMMERCIAL LITHOGRAPHIC  "		                                   	Anna  Wong	3000  Geary Boulevard	San Francisco                 	CA	94118	(415) 751-1212	(0  )    -    	0	A/P	
OLIV & ASSOCIATES                  	"PRINTING, COMMERCIAL LITHOGRAPHIC  "		                                   	Waymon V. Olivier	P O Box 15577                 	San Francisco	CA	94115-0577	(415) 931-6643	(415) 346-1796	0	BLK	oliv@att.net
QUAD EXPRESS PRINTING INC	"PRINTING, COMMERCIAL LITHOGRAPHIC  "		                                   	Jose S. Garcia	2180 Folsom Street	San Francisco                 	CA	94110	(415) 861-3433	(0  )    -    	0	LAT	
YES V CAN	"PRINTING, COMMERCIAL LITHOGRAPHIC  "			Milindha  Morahela	"45 Williams Avenue,Suite B"	San Francisco	CA	94124	(415) 671-3804	(415) 671-3804	0		mili@yesvcan.net
3 D PRIVATE SECURITY	PRIVATE SECURITY OPERATORS         			David L. Mark	1451 Shafter Avenue	San Francisco	Ca	94124	(415) 756-8141	(415) 822-2162	PPO15628	BLK	davidlmark@yahoo.com
A N I PRIVATE SECURITY AND PATROL INC	PRIVATE SECURITY OPERATORS         		                                   	Kamorudeen Segun Animashaun	4122 Broadway Street	Oakland                       	CA	94611	(510) 652-6833	(510) 652-0208	PPO 11292	BLK	kamani@pacbell.net
A TOPNOTCH SECURITY SERVICES INC  DBA: A T T S I	PRIVATE SECURITY OPERATORS         		A T S S I	Lillian M. Samson	3254 19th Street	San Francisco                 	CA	94110	(415) 550-8760	(415) 550-8831	PPO 14427	A/P	norma@costlessmaintenance.com
"A-1 PROTECTIVE SERVICES, INC"	PRIVATE SECURITY OPERATORS         			Paula  Jones	1601 Donner Street	San Francisco	CA	94124	(415) 671-1900	(415) 671-1904	PPO15122	BLK	ploann@aol.com
ADAMS SECURITY SERVICES            	PRIVATE SECURITY OPERATORS         		                                   	James A. Adams	"1290 Fillmore Street, Suite 111"	San Francisco	CA	94115	(415) 345-8940	(415) 345-8946	PPO 14857	BLK	asci1@earthlink.net
AVANT GUARD PROTECTIVE SERVICES    	PRIVATE SECURITY OPERATORS         		                                   	Jessie  Vaughn	702 Spring Road               	Vallejo                       	CA	94590	(707) 557-2290	(707) 588-8232	PPO10480	BLK	
CYPRESS SECURITY LLC               	PRIVATE SECURITY OPERATORS         		                                   	Joe  Villatoro	452 Tehama Street	San Francisco                 	CA	94103	(415) 352-1900	(415) 352-1910	PPO12497	LAT	info@cypress-security.com
EXECUSHIELD	PRIVATE SECURITY OPERATORS         			Daniel  Gonzalez	4104 24th St.	San Francisco	CA	94134	(415) 508-0825	(415) 508-0852	0	LAT	dgonzalez@execushield.com
HAL-MAR-JAC ENTERPRISES DBA MCCOY'S PATROL SERVICE	PRIVATE SECURITY OPERATORS         			Jacqueline R. Coleman	6271 Third Street	San Francisco                 	CA	94124	(415) 467-1470	(415) 467-2837	PP0 7100	BLK	jinglejc@aol.com
INTER-STATE SECURITY INC.	PRIVATE SECURITY OPERATORS         			John  Robinson	229 Downey Street	San Francisco	CA	94117	(415) 661-2100	(415) 731-4619	PO12328	BLK	johnr@inter-statesecurity.com
"JONES PROTECTIVE SERVICES, INC."	PRIVATE SECURITY OPERATORS         		J P S CORP	Herman P. Jones	3986 - 26th Street	San Francisco	CA		(415) 695-8800	(415) 826-3903	PPO 14766	BLK	herman@jpscorp.com or milagros@jpscorp.com
SRK SECURITY	PRIVATE SECURITY OPERATORS         			Gregory  Savoy	"1321 Evans Avenue, Suite D"	San Francisco	CA	94124	(415) 282-9985	(415) 282-9987	13864	BLK	srks80@yahoo.com
ALANIQUE                           	PUBLIC AFFAIRS/PUBLIC RELATIONS    		                                   	Millard Larkin  II	"4026 Third Street, Suite 201  "	San Francisco                 	CA	94124	(415) 643-5121	(415) 643-5120	0	BLK	alanique2001@yahoo.com
"ALFRED WILLIAMS CONSULTANCY, LLC"	PUBLIC AFFAIRS/PUBLIC RELATIONS    			Alfred  Williams	"5 Thomas Mellon Circle, Suite 234"	San Francisco                 	CA	94134	(415) 467-4675	(415) 467-4679	0	BLK	al@awconsul.com
"CHIANG, PEGGY ALLERGRA             "	PUBLIC AFFAIRS/PUBLIC RELATIONS    		                                   	Peggy  Chiang	381 TEHAMA STREET             	SAN FRANCISCO                 	CA	94103	(415) 652-0696	(415) 384-0702	0	A/P	chiang@speakeasy.net
DAVIS & ASSOCIATES COMMUNICATIONS	PUBLIC AFFAIRS/PUBLIC RELATIONS    		                                   	Darolyn  Davis	"45 Belden Place, Floor 3"	San Francisco                 	CA	94104	(415) 274-1821	(415) 274-1820	0	BLK	darolyn@davis-pr.com
LEBLANC AND ASSOCIATES CONSULTING	PUBLIC AFFAIRS/PUBLIC RELATIONS    			Brigette R. LeBlanc	305 Harkness Avenue	San Francisco	CA	94124	(415) 368-4219		0	BLK	leblancevents@yahoo.com
PITTMAN &  ASSOCIATES	PUBLIC AFFAIRS/PUBLIC RELATIONS    			Donna R. Pittman	"22 Battery Street, Suite 413"	San Francisco                 	CA	94111	(415) 394-7900	(415) 394-7747	0	BLK	donnarp@pacbell.net
W. B. KENNEDY & ASSOCIATES	PUBLIC AFFAIRS/PUBLIC RELATIONS    			Willie B. Kennedy	P.O. Box 882403               	San Francisco                 	CA	94188	(415) 822-4803	(415) 822-4840	0	BLK	kennedywil79@aol.com
YOLANDA'S CONSTRUCTION  ADMIN & TRAFFIC CONTROL	PUBLIC AFFAIRS/PUBLIC RELATIONS    			Yolanda  Jones	3450 Third St. Bldg.4 Suite A	San Francisco	CA	94124	(415) 647-2682	(415) 647-2683		BLK	yolandasconst.mtc@att.net
MICHAEL SIMMONS PROPERTY DEVELOPMENT	REDEVELOPMENT &  MGMT CONSULTANT   			Michael  Simmons	2370 Market Street #458	San Francisco	CA	94114	(415) 845-5527	(415) 358-8842	0	BLK	michaels@mspdi.com
ORI-line GLOBAL STRATEGY	REDEVELOPMENT &  MGMT CONSULTANT   			Diori Y. Johnson	4844 Daisy Street #D	Oakland	CA	94619-2837	(510) 524-2049	(510) 663-0549	0	BLK	diori9745@comcast.net
SEC CONSULTING COMPANY	REDEVELOPMENT &  MGMT CONSULTANT   			Sandra E. Cox	3 Captain Dr. #207	Emeryville	CA	94608	(510) 325-9608	(510) 985-1963	0	BLK	secb2000@hotmail.com
OKEEFFE MECHANICAL CO INC	REFRIGERATION (C-38)               		                                   	Moon  Jee	"2715 Ingalls Street, Suite A  "	San Francisco                 	CA	94124	(415) 822-2000	(415) 822-4770	687041	A/P	okeeffemech@sbcglobal.net
MLS CONSTRUCTION	REINFORCING STEEL (C-50)           		                                   	Kelly  Lai	368 - 31st Avenue             	San Francisco                 	CA	94121	(415) 752-7521	(415) 752-7537	609022	A/P	klai128@yahoo.com
LINDA A. NORWOOD	RELOCATION & SITE LOCATION CONSULTA		                                   	Linda A. Norwood	P. O. Box 704	San Juan Bautista	CA	95045	(831) 623-2600	(831) 623-2700	0	BLK	myrelocation@aol.com
MOCK/WALLACE ARCHITECTS            	RELOCATION & SITE LOCATION CONSULTA		                                   	Lawrence Lun  Mock	1108 Bryant Street            	San Francisco                 	CA	94103-4305	(415) 626-6868	(415) 626-6982	C 7672         	A/P	mwadmin@mockwallace.com
IMR ROOFING CORPORATION            	ROOFING (C-39)                     		                                   	Ismael  Avila	24967 Huntwood Avenue	Hayward	CA	94544	(510) 293-0137		783387	LAT	
"MNJ ROOFING, INC."	ROOFING (C-39)                     			Myung Jun  Song	7844 Crest Avenue	Oakland	CA	94605	(510) 247-1121	(510) 889-8814	831633	A/P	mnjroofing@yahoo.com
W W C WINDOW CLEANING INC          	SAND & WATER BLASTING (D-38)       		                                   	Ronald  Terry	1305 Carroll Avenue           	San Francisco                 	CA	94124	(415) 647-1880	(415) 467-3136	861588	BLK	wwcwindows@aol.com
"KAHN & ASSOCIATES, KAY"	SCALE MODELS                       	ARCHITECTURAL MODELS          	KAHN KAY & ASSOCIATES	Kangsik  Kay	460 Boulevard Way             	Oakland                       	CA	94610	(510) 653-0674	(510) 653-2727	0	A/P	kahnkay@yahoo.com
Sarah Lyu Consulting	"SCHOOLS & EDUCATIONAL SERVICES, NEC"			Sarah  Lyu	"3701 Sacramento Street, #495"	San Francisco	CA	94118	(415) 517-5077	(415) 358-4967	0	A/P	sarah@sarahlyuconsulting.com
LEBLANC AND ASSOCIATES CONSULTING	SECRETARIAL & COURT REPORTING      			Brigette R. LeBlanc	305 Harkness Avenue	San Francisco	CA	94124	(415) 368-4219		0	BLK	leblancevents@yahoo.com
M J F & ASSOCIATES CONSULTING	SECRETARIAL & COURT REPORTING      			Micah J. Fobbs	P O Box 882662	San Francisco	CA	94124	(415) 377-4105		0	BLK	mjfandassociates@aol.com
YOLANDA'S CONSTRUCTION  ADMIN & TRAFFIC CONTROL	SECRETARIAL & COURT REPORTING      			Yolanda  Jones	3450 Third St. Bldg.4 Suite A	San Francisco	CA	94124	(415) 647-2682	(415) 647-2683		BLK	yolandasconst.mtc@att.net
AU ELECTRIC CORPORATION	SECURITY SYSTEM DESIGN CONSULTANT  			Yat-Pang  Au	499 E. Taylor St.	San Jose	CA	95112	(408) 298-8888	(408) 298-8899	381840	A/P	yau@aec-alarms.com
ANCO IRON & CONSTRUCTION	SHEET METAL (C-43)                 			Hector  Colina	1320 Egbert St.	San Francisco	CA	94124	(415) 822-3931	(415) 822-3937	749293	LAT	anco6737@sbcglobal.net
DELCON HEATING & AIR CONDITIONING  	SHEET METAL (C-43)                 		                                   	David  Chavez	52 Wright Brothers Avenue	Livermore	CA	94551	(925) 456-8880	(925) 456-8302	493271	LAT	dave@delconhvac.com
LIVCO HEATING & SHEET METAL INC    	SHEET METAL (C-43)                 		COLAN HEATING & SHEET METAL INC    	Vincent Victor  Vigil	1475 Donner Avenue            	San Francisco                 	CA	94124	(415) 822-0660	(415) 822-8485	202632	LAT	ivigil@livco.net
OKEEFFE MECHANICAL CO INC	SHEET METAL (C-43)                 		                                   	Moon  Jee	"2715 Ingalls Street, Suite A  "	San Francisco                 	CA	94124	(415) 822-2000	(415) 822-4770	687041	A/P	okeeffemech@sbcglobal.net
YUMS MECHANICAL CO INC	SHEET METAL (C-43)                 		                                   	Park  Jung	1649 Jerrold Avenue           	San Francisco                 	CA	94124-2134	(415) 642-1818	(415) 642-1840	583839	A/P	parkjung@sbcglobal.net
PRIORITY ARCHITECTURAL GRAPHICS INC	SIGN PAINTING & INSTALLATION D-42) 	(NO ELECTRICAL)               	DBA PRIORITY GRAPHICS	Juliana Y. Choy	1596 Hudson Avenue	San Francisco                 	CA	94124	(415) 643-1144	(415) 643-1145	763170	A/P	juliana@prioritygraphics.com
AGS INC	SOILS AND GEOTECHNICAL ENGINEER    		                                   	Dennis C. Wong	"111 New Montgomery St, Ste 500"	San Francisco                 	CA	94105	(415) 777-2166	(415) 777-4874	C 70513	A/P	twong@agsinc.com
APEX TESTING LABORATORIES	SOILS AND GEOTECHNICAL ENGINEER    		                                   	Abdel-kader  Khelifa	"3450 - Third Street, #3E"	San Francisco                 	CA	94124	(415) 550-9800	(415) 550-9880	C 57368	BLK	abdel@apextestinglabs.com
"CHEW GEOTECHNICAL INC, ROBERT Y    "	SOILS AND GEOTECHNICAL ENGINEER    		                                   	Robert Yok  Chiang Chew	"55 New Montgomery Street, #525"	San Francisco                 	CA	94105	(415) 512-1881	(415) 512-1886	C 4460         	A/P	
GEOTECHNICAL CONSULTANTS INC	SOILS AND GEOTECHNICAL ENGINEER    		                                   	"G. ""Neel"" Neelakantan"	"500 Sansome Street, Suite 402"	San Francisco                 	CA	94111	(415) 981-9950	(415) 981-9951	GE 2391	EIN	neelegtcgeotech.com
"M2 CONSULTANTS, INC."	SOILS AND GEOTECHNICAL ENGINEER    			Yogesh  Prashar	4957 Piper Glen Terrace	Dublin	CA	94568	(925) 570-5731	(925) 875-1044	GE 2591	A/P	yprashar@m2consultantsinc.com
